K,level,seed,success,time_sec,nodes,iterations,path_len_joint
7,2,0,1,0.0,2,0,2.6457512378692627
7,2,1,1,0.0,2,0,2.6457512378692627
7,2,2,1,0.0,2,0,2.6457512378692627
7,2,3,1,0.0,2,0,2.6457512378692627
7,2,4,1,0.0,2,0,2.6457512378692627
7,3,0,1,0.0,2,0,2.6457512378692627
7,3,1,1,0.0,2,0,2.6457512378692627
7,3,2,1,0.0,2,0,2.6457512378692627
7,3,3,1,0.0,2,0,2.6457512378692627
7,3,4,1,0.0,2,0,2.6457512378692627
7,4,0,1,0.0,2,0,2.6457512378692627
7,4,1,1,0.0,2,0,2.6457512378692627
7,4,2,1,0.0,2,0,2.6457512378692627
7,4,3,1,0.0,2,0,2.6457512378692627
7,4,4,1,0.0,2,0,2.6457512378692627
8,0,0,1,0.0,2,0,2.8284270763397217
8,0,1,1,0.0,2,0,2.8284270763397217
8,0,2,1,0.0,2,0,2.8284270763397217
8,0,3,1,0.0,2,0,2.8284270763397217
8,0,4,1,0.0,2,0,2.8284270763397217
8,1,0,1,0.0,2,0,2.8284270763397217
8,1,1,1,0.0,2,0,2.8284270763397217
8,1,2,1,0.0,2,0,2.8284270763397217
8,1,3,1,0.0,2,0,2.8284270763397217
8,1,4,1,0.0,2,0,2.8284270763397217
8,2,0,1,0.0,2,0,2.8284270763397217
8,2,1,1,0.0,2,0,2.8284270763397217
8,2,2,1,0.0,2,0,2.8284270763397217
8,2,3,1,0.0,2,0,2.8284270763397217
8,2,4,1,0.0,2,0,2.8284270763397217
8,3,0,1,0.0,2,0,2.8284270763397217
8,3,1,1,0.0,2,0,2.8284270763397217
8,3,2,1,0.0,2,0,2.8284270763397217
8,3,3,1,0.0,2,0,2.8284270763397217
8,3,4,1,0.0,2,0,2.8284270763397217
8,4,0,1,0.0,2,0,2.8284270763397217
8,4,1,1,0.0,2,0,2.8284270763397217
8,4,2,1,0.0,2,0,2.8284270763397217
8,4,3,1,0.0,2,0,2.8284270763397217
8,4,4,1,0.0,2,0,2.8284270763397217
9,0,0,1,0.0,2,0,3.0
9,0,1,1,0.0,2,0,3.0
9,0,2,1,0.0,2,0,3.0
9,0,3,1,0.0,2,0,3.0
9,0,4,1,0.0,2,0,3.0
9,1,0,1,0.0,2,0,3.0
9,1,1,1,0.0,2,0,3.0
9,1,2,1,0.0,2,0,3.0
9,1,3,1,0.0,2,0,3.0
9,1,4,1,0.0,2,0,3.0
9,2,0,1,0.0,2,0,3.0
9,2,1,1,0.0,2,0,3.0
9,2,2,1,0.0,2,0,3.0
9,2,3,1,0.0,2,0,3.0
9,2,4,1,0.0,2,0,3.0
9,3,0,1,0.0,2,0,3.0
